등록연도,시군구명,연료별,용도별,승용차수,승합차수,특수차수,화물차수
2022,화성시,전기,사업용,265,59,0,224
2022,화성시,하이브리드(CNG+전기),사업용,0,2,0,0
2022,화성시,하이브리드(LPG+전기),비사업용,256,0,0,0
2022,화성시,하이브리드(경유+전기),비사업용,487,0,0,0
2022,화성시,하이브리드(경유+전기),사업용,4,0,0,0
2022,화성시,하이브리드(휘발유+전기),비사업용,26388,0,0,4
2022,화성시,하이브리드(휘발유+전기),사업용,78,0,0,0
2022,화성시,휘발유,비사업용,77093,52,3,484
2022,화성시,휘발유,사업용,75,4,0,0
2022,화성시,휘발유(무연),비사업용,163980,62,0,98
2022,화성시,휘발유(무연),사업용,589,0,0,0
2022,화성시,휘발유(유연),비사업용,235,0,0,0
2022,광주시,CNG,비사업용,26,1,0,2
2022,광주시,CNG,사업용,0,765,0,0
2022,광주시,경유,비사업용,50956,4617,464,28522
2022,광주시,경유,사업용,61,1783,353,4396
2022,광주시,기타연료,비사업용,2,177,117,530
2022,광주시,기타연료,사업용,0,0,0,37
2022,광주시,수소,비사업용,131,0,0,0
2022,광주시,엘피지,비사업용,9881,556,5,909
2022,광주시,엘피지,사업용,613,0,0,199
2022,광주시,전기,비사업용,1526,2,0,235
2022,광주시,전기,사업용,22,75,0,184
2022,광주시,하이브리드(LPG+전기),비사업용,103,0,0,0
2022,광주시,하이브리드(경유+전기),비사업용,166,0,0,0
2022,광주시,하이브리드(경유+전기),사업용,4,0,0,0
2022,광주시,하이브리드(휘발유+전기),비사업용,8793,0,0,2
2022,광주시,하이브리드(휘발유+전기),사업용,11,0,0,0
2022,광주시,휘발유,비사업용,30640,15,3,224
2022,광주시,휘발유,사업용,45,0,0,0
2022,성남시 중원구,CNG,사업용,0,82,0,0
2022,성남시 중원구,경유,비사업용,17846,2121,146,8516
2022,성남시 중원구,경유,사업용,214,145,135,1373
2022,성남시 중원구,기타연료,비사업용,1,27,10,92
2022,성남시 중원구,기타연료,사업용,0,0,0,7
2022,성남시 중원구,수소,비사업용,98,0,0,0
2022,성남시 중원구,수소,사업용,2,0,0,0
2022,성남시 중원구,엘피지,비사업용,4031,322,1,488
2022,성남시 중원구,엘피지,사업용,1620,0,0,68
2022,성남시 중원구,전기,비사업용,623,0,0,116
2022,성남시 중원구,전기,사업용,110,38,0,95
2022,성남시 중원구,하이브리드(LPG+전기),비사업용,41,0,0,0
2022,성남시 중원구,하이브리드(경유+전기),비사업용,48,0,0,0
2022,성남시 중원구,하이브리드(경유+전기),사업용,1,0,0,0
2022,성남시 중원구,하이브리드(휘발유+전기),비사업용,3296,0,0,0
2022,성남시 중원구,하이브리드(휘발유+전기),사업용,7,0,0,0
